codice_territorio,comune,2014,2015,2016,2017
"044071","Spinetoli","10.06","8.43","9.01","11.43",
"044073","Venarotta","12.8","19.72","12.63","9.31",
"045001","Aulla","9.8","13.2","10.99","12.25",
"045002","Bagnone","21.3","16.98","22.98","18.96",
"045003","Carrara","12.21","13.58","11.69","13.27",
"045004","Casola in Lunigiana","16.05","26.17","15.01","14.77",
"045005","Comano","25.32","41.15","22.57","31.01",
"045006","Filattiera","16.48","20.61","13.02","11.77",
"045007","Fivizzano","19.39","17.92","20.43","19.66",
"045008","Fosdinovo","11.14","13.28","9.06","14.96",
"045009","Licciana Nardi","14.74","11.92","13.99","14.85",
"045010","Massa","10.44","12.36","11.69","11.2",
"045011","Montignoso","11.2","11.99","10.2","10.69",
"045012","Mulazzo","16.82","18.35","14.44","21.87",
"045013","Podenzana","13.22","13.73","8.63","17.74",
"045014","Pontremoli","16.28","18.08","16.94","16.16",
"045015","Tresana","14.9","17.46","16.24","14.93",
"045016","Villafranca in Lunigiana","11.18","11.87","14.48","13.91",
"045017","Zeri","20.34","17.22","22.17","28.2",
"046001","Altopascio","9.65","9.82","8.01","11.21",
"046002","Bagni di Lucca","16.51","13.26","14.16","15.18",
"046003","Barga","13.04","13.32","11.69","15.7",
"046004","Borgo a Mozzano","13.63","15.76","12.72","12.72",
"046005","Camaiore","11.18","12.45","12.08","12.77",
"046006","Camporgiano","14.38","13.23","17.98","16.75",
"046007","Capannori","11.58","11.9","10.47","11.36",
"046008","Careggine","19.03","17.68","21.56","14.71",
"046009","Castelnuovo di Garfagnana","12.85","11.91","12.76","12.44",
"046010","Castiglione di Garfagnana","15.71","15.85","12.15","12.82",
"046011","Coreglia Antelminelli","12.36","13.17","13.82","14.01",
"046013","Forte dei Marmi","11.98","16.63","16.72","15.16",
"046014","Fosciandora","13.15","21.51","13.41","17.02",
"046015","Gallicano","15.06","11.5","16.62","17.59",
"046017","Lucca","11.52","12.29","11.26","13.25",
"046018","Massarosa","9.22","10.08","11.12","10.51",
"046019","Minucciano","15.46","13.28","18.34","18.2",
"046020","Molazzana","19.19","26.39","17.32","6.72",
"046021","Montecarlo","11.64","8.57","10.63","9.99",
"046022","Pescaglia","10.84","13.76","12.82","14.1",
"046023","Piazza al Serchio","15.29","11.74","19.12","12.94",
"046024","Pietrasanta","13.51","12.79","12.49","12.24",
"046025","Pieve Fosciana","13.71","16.16","11.92","10.13",
"046026","Porcari","7.1","11.28","11.07","11.25",
"046027","San Romano in Garfagnana","6.28","16.13","9.95","14.93",
"046028","Seravezza","11.36","14.39","10.94","14.29",
"046030","Stazzema","12.63","13.7","17.07","17.05",
"046031","Vagli Sotto","15.44","14.77","18.23","16.16",
"046033","Viareggio","10.78","13.35","11.84","11.88",
"046034","Villa Basilica","18.03","11.57","11.76","11.35",
"046035","Villa Collemandina","13.97","14.88","16.58","18.26",
"046036","Fabbriche di Vergemoli","16.28","28.44","19.16","11.16",
"046037","Sillano Giuncugnano","21.33","17.32","13.89","18.7",
"047002","Agliana","8.82","10.1","9.6","11.28",
"047003","Buggiano","9.98","8.73","11.14","10.83",
"047005","Lamporecchio","10.85","11.82","8.93","11.61",
"047006","Larciano","9.37","10.62","11.91","12.63",
"047007","Marliana","7.83","11.54","15.25","14.4",
"047008","Massa e Cozzile","10.04","10.4","12.28","11.82",
"047009","Monsummano Terme","8.51","9.51","10.12","9.93",
"047010","Montale","10.85","10.41","8.75","10.87",
"047011","Montecatini-Terme","12.65","12.11","11.79","13.71",
"047012","Pescia","10.25","12.7","12.46","13.55",
"047013","Pieve a Nievole","9.31","10.76","10.69","11.16",
"047014","Pistoia","11.87","12.01","11.57","12.14",
"047016","Ponte Buggianese","10.58","10.57","10.09","11.82",
"047017","Quarrata","9.39","9.67","8.16","9.29",
"047018","Sambuca Pistoiese","17.75","10.91","15.64","6.3",
"047020","Serravalle Pistoiese","8.23","10.73","10.55","12.33",
"047021","Uzzano","9.27","7.66","8.85","9.41",
"047022","Chiesina Uzzanese","7.92","12.74","11.39","11.82",
"047023","Abetone Cutigliano","11.92","25.71","13.83","15.77",
"047024","San Marcello Piteglio","18.27","19.25","18.72","22.67",
"048001","Bagno a Ripoli","10.7","12.94","12.74","12.97",
"048002","Barberino di Mugello","10.14","11.52","9.32","9.47",
"048003","Barberino Val d'Elsa","8.65","8.21","7.05","8.21",
"048004","Borgo San Lorenzo","9.58","12.56","11.64","10.98",
"048005","Calenzano","10.61","10.14","8.98","8.93",
"048006","Campi Bisenzio","7.58","9.44","7.85","8.96",
"048008","Capraia e Limite","7.24","6.02","7.28","10.97",
"048010","Castelfiorentino","11.31","13.23","12.13","12.32",
"048011","Cerreto Guidi","8.4","11.47","9.73","10.67",
"048012","Certaldo","11.19","11.61","12.83","12.18",
"048013","Dicomano","11.79","11.74","11.55","15.88",
"048014","Empoli","10.66","11.19","10.63","12.16",
"048015","Fiesole","11.93","13.62","11.58","11.29",
"048017","Firenze","11.32","12.47","11.84","11.95",
"048018","Firenzuola","14.93","15.75","17.47","20.74",
"048019","Fucecchio","9.57","10.05","10.04","10.93",
"048020","Gambassi Terme","11.53","12.54","8.64","10.09",
"048021","Greve in Chianti","10.93","10.71","11.2","12.67",
"048022","Impruneta","11.3","12.11","11.01","13.2",
"048024","Lastra a Signa","9.8","11.19","9.64","9.95",
"048025","Londa","9.71","8.64","8.67","11.21",
"048026","Marradi","14.47","19.67","17.99","13.66",
"048027","Montaione","13.95","16.96","15.97","18.02",
"048028","Montelupo Fiorentino","9.78","9.95","8.33","10.6",
"048030","Montespertoli","8.84","10.49","9.32","9.26",
"048031","Palazzuolo sul Senio","12.84","12.06","22.76","7.92",
"048032","Pelago","12.79","9.28","9.48","10.72",
"048033","Pontassieve","11.87","13.63","10.82","12.57",
"048035","Reggello","11.73","10.75","10.48","10.95",
"048036","Rignano sull'Arno","7.95","10.4","7.26","9.18",
"048037","Rufina","9.8","13.67","12.02","11.95",
"048038","San Casciano in Val di Pesa","11.99","12.26","11.29","11.37",
"048039","San Godenzo","15.18","20.45","15.59","18.49",
"048041","Scandicci","9.88","11.72","10.88","11.21",
"048043","Sesto Fiorentino","11.02","10.87","9.47","12.08",
"048044","Signa","9.73","9.37","8.02","9.54",
"048045","Tavarnelle Val di Pesa","9.58","11.25","12.06","10.94",
"048046","Vaglia","10.68","10.68","11.95","11.29",
"048049","Vicchio","12.29","13.32","11.14","9.7",
"048050","Vinci","10.17","11.56","11.11","11.3",
"048052","Figline e Incisa Valdarno","10.61","11.79","10.4","10.58",
"048053","Scarperia e San Piero","10.95","11.32","9.85","11.02",
"049001","Bibbona","12.89","13.58","10.37","12.16",
"049002","Campiglia Marittima","12.78","11.77","12.96","12.91",
"049003","Campo nell'Elba","8.95","7.47","9.11","10.28",
"049004","Capoliveri","5.57","8.72","10.4","8.17",
"049005","Capraia Isola","4.83","16.85","9.67","12.24",
"049006","Castagneto Carducci","11.99","12.26","11.61","13.11",
"049007","Cecina","12.44","13.02","12.93","11.74",
"049008","Collesalvetti","11.17","9.81","8.89","11.14",
"049009","Livorno","11.82","13.13","12.2","12.32",
"049010","Marciana","14.77","18.14","11.51","19.17",
"049011","Marciana Marina","11.7","13.73","13.16","15.22",
"049012","Piombino","13.03","15.7","12.57","14.85",
"049013","Porto Azzurro","10.46","7.49","7.2","7.74",
"049014","Portoferraio","11.98","9.83","13.02","11.61",
"049015","Rio Marina","13.4","15.76","11.38","11.8",
"049016","Rio nell'Elba","8.36","4.3","7.99","1.83",
"049017","Rosignano Marittimo","12.29","13.05","13.48","13.82",
"049018","San Vincenzo","13.01","16.7","13.02","13.25",
"049019","Sassetta","13.16","22.94","17.7","13.94",
"049020","Suvereto","12.85","14.24","13.43","14.99",
"050001","Bientina","8.58","10.27","9.93","8.06",
"050002","Buti","10.93","12.74","13.25","10.42",
"050003","Calci","9.85","10.99","9.51","9.83",
"050004","Calcinaia","7.21","8.57","7.47","9.18",
"050005","Capannoli","7.42","10.19","7.7","9.6",
"050006","Casale Marittimo","21.52","13.46","10.8","15.52",
"050008","Cascina","9.67","10.34","9.89","11.06",
"050009","Castelfranco di Sotto","9.84","12.22","10.83","10.54",
"050010","Castellina Marittima","10.24","12.24","10.48","12.67",
"050011","Castelnuovo di Val di Cecina","16.25","15.1","15.29","15.01",
"050012","Chianni","16.12","21.37","16.68","16.96",
"050014","Fauglia","11.68","13.28","10.07","10.08",
"050015","Guardistallo","10.28","13.64","6.46","8.91",
"050016","Lajatico","12.4","11.82","14.96","16.68",
"050019","Montecatini Val di Cecina","17.97","15.92","17.31","20.04",
"050020","Montescudaio","7.87","10.19","8.81","7.33",
"050021","Monteverdi Marittimo","15.71","10.53","15.8","23.95",
"050022","Montopoli in Val d'Arno","8.75","10.38","12.13","9.25",
"050023","Orciano Pisano","12.3","12.39","15.55","7.86",
"050024","Palaia","10.19","13.44","10.63","15.53",
"050025","Peccioli","12.46","15.93","13.61","13.73",
"050026","Pisa","11.35","12.45","11.37","12.15",
"050027","Pomarance","16.1","15.38","13.12","17.32",
"050028","Ponsacco","8.06","8.63","10.46","12.16",
"050029","Pontedera","10.6","13.15","10.7","10.95",
"050030","Riparbella","12.28","10.53","10.53","11.06",
"050031","San Giuliano Terme","10.3","10.99","10.97","10.62",
"050032","San Miniato","10.4","12","10.18","10.07",
"050033","Santa Croce sull'Arno","8.74","9.06","7.7","10.14",
"050034","Santa Luce","11.05","12.36","14.25","8.93",
"050035","Santa Maria a Monte","9.16","9.29","9.25","9.93",
"050036","Terricciola","9.56","10.16","9.4","9.29",
"050037","Vecchiano","10.59","12.68","11.94","11.09",
"050038","Vicopisano","10.21","11.28","10.15","11.03",
"050039","Volterra","13.64","14.55","13.95","14.01",
"050040","Casciana Terme Lari","11.42","11.66","12.04","11.36",
"050041","Crespina Lorenzana","9.73","11.92","9.52","11.95",
"051001","Anghiari","12.21","13.27","12.08","16.67",
"051002","Arezzo","11.07","11.08","10.68","11.53",
"051003","Badia Tedalda","15.9","23.21","18.46","14.85",
"051004","Bibbiena","11.32","12.82","10.71","9.42",
"051005","Bucine","11.83","12.19","10.85","11.88",
"051006","Capolona","8.81","10.82","10.11","9.19",
"051007","Caprese Michelangelo","19.04","17.39","24.87","12.88",
"051008","Castel Focognano","15.26","15.76","11.17","9.66",
"051010","Castel San Niccolò","14.89","16.15","14.81","14.17",
"051011","Castiglion Fibocchi","11.7","8.7","9.24","9.75",
"051012","Castiglion Fiorentino","10.64","12.12","11.26","10.97",
"051013","Cavriglia","10.16","9.24","10.21","9.94",
"051014","Chitignano","12.17","15.54","12.16","13.19",
"051015","Chiusi della Verna","10.67","15.14","8.47","17.03",
"051016","Civitella in Val di Chiana","10.78","10.54","9","11.36",
"051017","Cortona","10.58","12.8","12.97","13.99",
"051018","Foiano della Chiana","8.65","11.27","8","10.87",
"051019","Laterina","11.9","9.63","11.11","12.3",
"051020","Loro Ciuffenna","10.8","10.81","12.18","11.62",
"051021","Lucignano","11.26","16.6","9.78","14.86",
"051022","Marciano della Chiana","7.78","9.79","6.95","8.73",
"051023","Montemignaio","14.48","19.77","21.35","18.1",
"051024","Monterchi","14.05","14.14","14.86","18.51",
"051025","Monte San Savino","10.8","12.56","13.25","11.81",
"051026","Montevarchi","11.52","11.02","11.03","11.47",
"051027","Ortignano Raggiolo","10.27","11.44","4.56","7.97",
"051028","Pergine Valdarno","11.93","10.11","13.69","10.89",
"051030","Pieve Santo Stefano","12.53","12.22","15.46","12.43",
"051031","Poppi","11.51","11.28","11.22","13.67",
"051033","San Giovanni Valdarno","12.31","14.3","12.48","12.26",
"051034","Sansepolcro","12.52","13.48","12.52","12.77",
"051035","Sestino","12.27","16.87","17.05","18.85",
"051037","Subbiano","8.37","9.32","9.95","10.07",
"051038","Talla","15.51","12.12","14.14","16.3",
"051039","Terranuova Bracciolini","9.92","11.4","9.82","11.96",
"051040","Castelfranco Piandiscò","9.04","10.38","9.6","9.43",
"051041","Pratovecchio Stia","15.2","15.17","16.69","15.16",
"052001","Abbadia San Salvatore","11.65","14.83","17.05","16.26",
"052002","Asciano","11.39","13.01","11.24","13.67",
"052003","Buonconvento","12.09","9.7","11.43","13.73",
"052004","Casole d'Elsa","9.4","11.74","10.01","9.81",
"052005","Castellina in Chianti","15.58","16.67","12.18","15.33",
"052006","Castelnuovo Berardenga","7.13","10.43","8.7","9.25",
"052007","Castiglione d'Orcia","17.84","18.96","14.56","16.03",
"052008","Cetona","17.85","18.39","16.83","18.19",
"052009","Chianciano Terme","11.37","15.59","12.52","15.11",
"052010","Chiusdino","18.69","21.4","15.84","17.54",
"052011","Chiusi","10.84","11.8","13.97","13.51",
"052012","Colle di Val d'Elsa","8.91","10.77","11.92","10.47",
"052013","Gaiole in Chianti","11.43","12.63","15.97","10.53",
"052015","Montepulciano","13.26","12.93","13.22","12.85",
"052016","Monteriggioni","8.83","9.65","8.74","9.59",
"052017","Monteroni d'Arbia","9.31","8.4","8.46","9.57",
"052018","Monticiano","13.41","6.35","10.36","12.42",
"052019","Murlo","11.63","12.08","9.64","8.69",
"052020","Piancastagnaio","10.06","13.4","17.04","14.99",
"052021","Pienza","12.22","15.58","17.17","14.88",
"052022","Poggibonsi","10.33","11.74","11.6","11.6",
"052023","Radda in Chianti","13.86","15.31","15","21.46",
"052024","Radicofani","13.21","18.89","14.65","16.66",
"052025","Radicondoli","9.72","15.24","10.8","9.62",
"052026","Rapolano Terme","13.85","13.69","9.52","11.17",
"052027","San Casciano dei Bagni","14.64","17.82","17.94","14.49",
"052028","San Gimignano","9.35","10.46","11.54","10.93",
"052030","San Quirico d'Orcia","8.16","13.04","12.41","11.7",
"052031","Sarteano","14.99","16.94","15.04","12.3",
"052032","Siena","13.57","15.37","13.95","14.77",
"052033","Sinalunga","10.17","11.99","10.55","12.61",
"052034","Sovicille","10.53","10.86","10.48","10.51",
"052035","Torrita di Siena","12.43","13.43","12.44","12.85",
"052036","Trequanda","15.32","15.67","10.39","17.01",
"052037","Montalcino","15.18","14.25","16.82","13.82",
"053001","Arcidosso","15.48","11.42","12.82","12.78",
"053002","Campagnatico","13.59","10.75","13.57","17.78",
"053003","Capalbio","8.44","10.16","14.33","11",
"053004","Castel del Piano","17.3","16.83","16.07","13.15",
"053005","Castell'Azzara","20.22","26.74","26.66","21.65",
"053006","Castiglione della Pescaia","13.16","11.59","10.83","14.54",
"053007","Cinigiano","16.9","13.66","16.16","19.94",
"053008","Civitella Paganico","10.84","16.32","11.7","17.63",
"053009","Follonica","12.73","13.66","12.5","13.71",
"053010","Gavorrano","12.92","14.02","12.5","14.27",
"053011","Grosseto","10.26","11.55","11.25","10.88",
"053012","Isola del Giglio","6.96","9","7.64","13.91",
"053013","Magliano in Toscana","12.86","14.6","13.88","12.64",
"053014","Manciano","11.93","14.81","15.67","13.12",
"053015","Massa Marittima","15.51","17.91","14.96","16.13",
"053016","Monte Argentario","9.85","12","10.15","11.99",
"053017","Montieri","19.61","21.49","17.57","13.58",
"053018","Orbetello","11.88","11.56","10.97","12.23",
"053019","Pitigliano","12.65","18.22","13.92","15.89",
"053020","Roccalbegna","17.77","17.98","17.41","16.93",
"053021","Roccastrada","12.71","14.73","10.56","14.47",
"053022","Santa Fiora","11.74","22.04","14.52","17.78",
"053023","Scansano","13","14.98","16.63","12.59",
"053024","Scarlino","10.95","12.56","8.06","12.43",
"053025","Seggiano","21.63","18.79","13.5","21.84",
"053026","Sorano","19.23","19.44","19.68","17.9",
"053027","Monterotondo Marittimo","10.25","8.78","14.82","12.12",
"053028","Semproniano","30.94","20.51","25.36","22.37",
"054001","Assisi","10.04","11.42","10.3","10.96",
"054002","Bastia Umbra","8.7","8.86","9.02","10.47",
"054003","Bettona","7.37","10.34","7.08","11.2",
"054004","Bevagna","13.03","15.49","9.06","12.5",
"054005","Campello sul Clitunno","9.24","13","13.19","12.54",
"054006","Cannara","12.36","11.32","11.37","9.02",
"054007","Cascia","10.46","15.16","12.82","14.31",
"054008","Castel Ritaldi","8.76","8.82","11.28","9.19",
"054009","Castiglione del Lago","11.05","12.37","13.7","11.78",
"054010","Cerreto di Spoleto","15.51","12.92","16.81","14.14",
"054011","Citerna","9.89","10.19","11.36","9.75",
"054012","Città della Pieve","11.55","15.12","8.41","12.83",
"054013","Città di Castello","11.59","11.35","11.8","11.52",
"054014","Collazzone","11.22","9.24","12.11","10.13",
"054015","Corciano","8.19","7.69","7.45","8.28",
"054016","Costacciaro","17.68","15.5","14.98","14.41",
"054017","Deruta","11.03","11.4","10.14","9.19",
"054018","Foligno","11.14","11.64","10.74","11.49",
"054019","Fossato di Vico","14.04","10.1","14.48","14.39",
"054020","Fratta Todina","8.59","11.34","15.24","14.22",
"054021","Giano dell'Umbria","8.65","10.96","9.32","10.3",
"054022","Gualdo Cattaneo","9.72","14.17","12.77","12.97",
"054023","Gualdo Tadino","12.71","13.02","13.28","11.3",
"054024","Gubbio","11.3","12.73","11.72","13.6",
"054025","Lisciano Niccone","12.63","9.62","13.1","19.75",
"054026","Magione","10.02","9.95","10.5","11.19",
"054027","Marsciano","11.12","11.47","10.72","11.1",
"054028","Massa Martana","12.14","13","12.75","14.14",
"054029","Monte Castello di Vibio","15.54","15.11","15.36","14.24",
"054030","Montefalco","13.94","12.47","17.16","14.28",
"054031","Monteleone di Spoleto","11.5","13.28","20.25","6.81",
"054032","Monte Santa Maria Tiberina","10.85","15.15","16.21","11.22",
"054033","Montone","16.61","7.73","13.72","15.09",
"054034","Nocera Umbra","13.34","13.64","14.46","15.84",
"054035","Norcia","12.16","11.72","12.07","14.39",
"054036","Paciano","16.34","8.23","9.26","11.25",
"054037","Panicale","10.98","13.67","16.11","12.13",
"054038","Passignano sul Trasimeno","9.4","12.5","11.86","11.02",
"054039","Perugia","9.59","11.21","9.89","11.19",
"054040","Piegaro","10.93","13.54","14.79","15.26",
"054041","Pietralunga","9.88","9.46","13.77","12.44",
"054042","Poggiodomo","7.63","65.04","17.47","46.73",
"054043","Preci","10.65","16.26","19.44","12.68",
"054044","San Giustino","9.31","10.68","12.25","13.72",
"054045","Sant'Anatolia di Narco","14.31","14.2","7.09","14.27",
"054046","Scheggia e Pascelupo","14.25","14.98","14.46","19.83",
"054047","Scheggino","14.58","17.11","17.58","11.1",
"054048","Sellano","13.46","19.13","11.16","19.82",
"054049","Sigillo","17.6","16.58","10.05","13.97",
"054050","Spello","10","13.59","12.42","9.8",
"054051","Spoleto","11.33","13.55","12.22","14.34",
"054052","Todi","11.82","13.18","13.49","14.43",
"054053","Torgiano","9.4","8.48","9.21","9.1",
"054054","Trevi","11.08","11.31","12.47","12.07",
"054055","Tuoro sul Trasimeno","12.53","15.79","14.26","11.63",
"054056","Umbertide","11.74","11.46","12.08","11.83",
"054057","Valfabbrica","10.73","12.91","11.79","8.82",
"054058","Vallo di Nera","29.18","5.45","8.14","16.37",
"054059","Valtopina","15.13","14.75","12.16","12.96",
"055001","Acquasparta","16.38","16.2","12.42","15.74",
"055002","Allerona","17.66","11.7","14.05","10.19",
"055003","Alviano","9.57","18.48","14.34","13.71",
"055004","Amelia","13.72","10.75","11.35","12.9",
"055005","Arrone","11.46","11.53","11.98","11.29",
"055006","Attigliano","9.41","13.35","11.94","11.05",
"055007","Baschi","14.01","14.95","14.74","20.04",
"055008","Calvi dell'Umbria","19.34","16.7","16.82","22.61",
"055009","Castel Giorgio","17.98","23.3","17.39","24.21",
"055010","Castel Viscardo","16.02","15.24","16.76","13.14",
"055011","Fabro","11.36","17.01","12.9","19.69",
"055012","Ferentillo","15.58","16.18","15.72","13.76",
"055013","Ficulle","12.96","17.27","15","14.55",
"055014","Giove","8.29","12.94","14.62","10.45",
"055015","Guardea","9.76","16.29","10.91","15.42",
"055016","Lugnano in Teverina","8.58","17.28","14.2","17.83",
"055017","Montecastrilli","11.26","13.02","11.72","13.29",
"055018","Montecchio","14.78","13.69","15.56","19.93",
"055019","Montefranco","10.16","12.53","10.16","13.91",
"055020","Montegabbione","9.67","14.71","19.89","10.95",
"055021","Monteleone d'Orvieto","12.63","23.53","14.46","18.84",
"055022","Narni","12.04","13.85","13.27","13.2",
"055023","Orvieto","13.48","14.7","13.38","14.44",
"055024","Otricoli","16.37","12.77","11.79","16.79",
"055025","Parrano","12.2","19.91","24.46","9.53",
"055026","Penna in Teverina","9.26","13.68","13.68","17.45",
"055027","Polino","4.26","8.55","4.21","12.58",
"055028","Porano","10.56","12.6","11.68","11.13",
"055029","San Gemini","12.69","8.74","11.16","12",
"055030","San Venanzo","12.4","16.14","17.14","13.61",
"055031","Stroncone","14.79","11.38","9.6","11.97",
"055032","Terni","11.46","12.64","12.21","12.32",
"055033","Avigliano Umbro","7.7","12","11.02","16.69",
"056001","Acquapendente","17.4","18.1","15.52","15.8",
"056002","Arlena di Castro","16.18","12.79","8.11","12.62",
"056003","Bagnoregio","14.39","13.67","14.32","17.17",
"056004","Barbarano Romano","13.65","14.76","14.93","13.13",
"056005","Bassano Romano","11.55","11.58","10.87","12.87",
"056006","Bassano in Teverina","11.99","13.58","11.5","15.53",
"056007","Blera","12.06","12.48","10.51","14.53",
"056008","Bolsena","18.55","18.11","10.85","17.77",
"056009","Bomarzo","8.71","15.36","10.54","12.75",
"056010","Calcata","9.84","14.25","9.87","5.46",
"056011","Canepina","11.28","12.95","13.69","15.79",
"056012","Canino","9.21","13.59","10.76","11.33",
"056013","Capodimonte","13.16","18.4","12.21","14",
"056014","Capranica","10.3","10.28","11.74","9.62",
"056015","Caprarola","11.46","12.4","15.41","12.39",
"056016","Carbognano","18.71","18.92","17.57","15.14",
"056017","Castel Sant'Elia","7.58","5.26","10.11","15.9",
"056018","Castiglione in Teverina","14.33","15.75","14.19","10.34",
"056019","Celleno","19.32","23.72","19.22","19.36",
"056020","Cellere","15.76","18.41","16.86","17.01",
"056021","Civita Castellana","9.62","11.02","10.57","11.93",
"056022","Civitella d'Agliano","13.86","19.44","14.82","17.12",
"056023","Corchiano","9.48","11.06","6.77","10.79",
"056024","Fabrica di Roma","8.89","8.94","10.38","11.89",
"056025","Faleria","10.12","11.02","9.18","13.45",
"056026","Farnese","15.38","30.46","17.12","22.05",
"056027","Gallese","11.53","10.03","12.27","14.45",
"056028","Gradoli","11.49","17.54","14.79","14.82",
"056029","Graffignano","15.21","17.02","16.73","16.98",
"056030","Grotte di Castro","14.22","18.48","13.19","20.46",
"056031","Ischia di Castro","21.34","14.46","7.33","16.09",
"056032","Latera","21.9","22.47","24.11","26.65",
"056033","Lubriano","16.45","17.57","11.07","11.17",
"056034","Marta","10.26","14.27","13.83","15.46",
"056035","Montalto di Castro","9.43","8.19","11.54","10.69",
"056036","Montefiascone","12.46","15.93","13.61","13.36",
"056037","Monte Romano","11.61","13.09","12.82","12.11",
"056038","Monterosi","6.29","7.39","6.5","6.87",
"056039","Nepi","8.65","10","9.22","8.97",
"056040","Onano","19.96","17.01","26.29","19.26",
"056041","Oriolo Romano","9.18","11.03","11.03","8.44",
"056042","Orte","11.97","12.29","11.05","10.9",
"056043","Piansano","12.31","15.29","13.08","20.87",
"056044","Proceno","22.89","25.02","7.18","12.08",
"056045","Ronciglione","9.96","13.67","12.04","12.6",
"056046","Villa San Giovanni in Tuscia","7.48","14.89","9.77","10.6",
"056047","San Lorenzo Nuovo","15.57","15.71","12.95","14.25",
"056048","Soriano nel Cimino","12.7","13.52","11.33","11.05",
"056049","Sutri","10.03","9.5","9.86","13.06",
"056050","Tarquinia","11.21","12.91","11.75","12.62",
"056051","Tessennano","21.44","0","20.47","24.02",
"056052","Tuscania","10.88","11.14","11.38","13.46",
"056053","Valentano","10.68","13.52","10.86","12.93",
"056054","Vallerano","11.81","13.35","11.51","12.74",
"056055","Vasanello","13.28","11.72","10.59","13.1",
"056056","Vejano","9.55","14.55","12.01","11.6",
"056057","Vetralla","11.1","11.76","9.62","12.48",
"056058","Vignanello","14.74","15.78","15.13","14.03",
"056059","Viterbo","11.03","11.62","10.1","11.69",
"056060","Vitorchiano","5.21","7.67","6.66","5.33",
"057001","Accumoli","21.91","17.87","30.44","28.24",
"057002","Amatrice","17.89","19.18","53.96","20.27",
"057003","Antrodoco","13.14","13.78","16.67","19.34",
"057004","Ascrea","31.81","8.39","16.33","15.97",
"057005","Belmonte in Sabina","13.9","14.08","7.9","4.75",
"057006","Borbona","23.79","12.87","17.87","19.83",
"057007","Borgorose","13.17","11.74","14.23","14.4",
"057008","Borgo Velino","15.29","15.37","7.26","11.59",
"057009","Cantalice","12.61","14.45","16.83","16.02",
"057010","Cantalupo in Sabina","14.54","12.37","7.11","16.61",
"057011","Casaprota","7.86","9.34","10.83","12.29",
"057012","Casperia","11.14","17.6","9.65","13.61",
"057013","Castel di Tora","20.41","31.03","13.94","14.39",
"057014","Castelnuovo di Farfa","10.37","9.4","11.29","11.42",
"057015","Castel Sant'Angelo","8.28","12.11","12.29","13.86",
"057016","Cittaducale","11.61","9.78","10.28","12.14",
"057017","Cittareale","28.99","18.81","29.26","23.48",
"057018","Collalto Sabino","19.8","15.75","20.59","18.87",
"057019","Colle di Tora","15.75","18.69","27.47","5.64",
"057020","Collegiove","33.06","0","0","45.98",
"057021","Collevecchio","15.45","15.71","14.69","10.27",
"057022","Colli sul Velino","18.6","7.5","13.25","11.61",
"057023","Concerviano","9.77","40.27","20.73","35.4",
"057024","Configni","6.25","22.05","9.49","16.1",
"057025","Contigliano","15.79","17.51","12.39","15.86",
"057026","Cottanello","8.86","12.46","14.2","14.52",
"057027","Fara in Sabina","8.34","8.8","8.56","8.73",
"057028","Fiamignano","14.07","18.29","21.56","16.25",
"057029","Forano","10.4","12.29","7.57","8.53",
"057030","Frasso Sabino","12.23","17.62","10.72","13.2",
"057031","Greccio","16.54","17.25","11.57","16.73",
"057032","Labro","5.21","13.19","13.51","13.95",
"057033","Leonessa","13.75","13.91","13.25","20.23",
"057034","Longone Sabino","14.88","16.67","20.44","26.48",
"057035","Magliano Sabina","7.81","13.43","13.31","11.03",
"057036","Marcetelli","39.22","60.98","11.49","12.42",
"057037","Micigliano","16.26","0","15.5","15.15",
"057038","Mompeo","22.06","13.04","13.27","29.18",
"057039","Montasola","7.31","17.48","7.67","10.28",
"057040","Montebuono","14.61","16.99","18.05","20.21",
"057041","Monteleone Sabino","13","16.34","8.13","10.54",
"057042","Montenero Sabino","13.51","10.07","20.3","10.36",
"057043","Monte San Giovanni in Sabina","19.31","9.8","19.84","18.87",
"057044","Montopoli di Sabina","12.46","12.56","11.99","8.97",
"057045","Morro Reatino","13.87","5.42","13.44","21.74",
"057046","Nespolo","15.24","15.9","12.22","16.7",
"057047","Orvinio","11.45","21.61","17.54","15.38",
"057048","Paganico Sabino","11.24","17.14","29.07","23.67",
"057049","Pescorocchiano","16.19","17.07","16.99","13.19",
"057050","Petrella Salto","22.33","13.36","18.55","17.23",
"057051","Poggio Bustone","10.02","19.27","10.28","8.88",
"057052","Poggio Catino","14.73","8.92","13.6","16.19",
"057053","Poggio Mirteto","8.66","9.37","10.59","10.05",
"057054","Poggio Moiano","9.31","11.93","12.83","13.44",
"057055","Poggio Nativo","9.71","9.61","10.36","10.88",
"057056","Poggio San Lorenzo","19.1","17.01","22.41","16.06",
"057057","Posta","26.95","10.08","16.18","19.77",
"057058","Pozzaglia Sabina","16.15","27.55","40.06","23.88",
"057059","Rieti","10.16","11.49","11.11","11.66",
"057060","Rivodutri","14.15","16.61","12.91","15.57",
"057061","Roccantica","13.76","10.6","12.5","16.23",
"057062","Rocca Sinibalda","15.44","23.06","17.39","20.32",
"057063","Salisano","12.28","22.83","16.1","12.72",
"057064","Scandriglia","12.4","14.01","10.26","11.81",
"057065","Selci","10.73","10.8","13.62","13.67",
"057066","Stimigliano","6.02","10.32","6.43","11.16",
"057067","Tarano","15.96","9.08","13.18","14.63",
